Year,Total
2001,9444050
2001,1688460
2001,4439003
2001,10081700
2001,5020000
2001,8130350
2001,2150040
2001,7513800
2001,2834132
2001,2737180
2001,2763379
2001,10100055
2001,2092841
2001,4245485
2001,2128414
2002,31666000
2002,10322405
2002,30675375
2002,4584039
2002,12868793
2002,5641527
2002,5621971
2002,7258604
2002,7837168
2002,14616604
2002,6142467
2002,6903780
2002,1696762
2002,6556150
2002,32195590
2002,933720
2002,1822560
2002,773000
2002,431500
2002,122600
2002,36503940
2002,36316937
2002,7009300
2002,19274500
2002,21458000
2002,257500
2002,954387
2002,861422
2002,2446674
2002,2352524
2002,4475871
2002,2743553
2002,2702726
2002,2719057
2002,6583000
2002,4564907
2002,4366344
2002,2379745
2002,2244803
2002,3079373
2002,5516140
2002,6576850
2002,2596371
2002,2575313
2002,7145891
2002,6305657
2002,2387023
2002,2297682
2002,3208007
2002,3383068
2002,3382193
2002,2147179
2002,3828023
2002,2304204
2003,34748700
2003,10528250
2003,38194030
2003,17500604
2003,17377675
2003,5446961
2003,6776252
2003,5992464
2003,14001897
2003,11779362
2003,11224919
2003,5801861
2003,6562400
2003,27660200
2003,1570848
2003,1530000
2003,193350
2003,276000
2003,38788889
2003,36626794
2003,6803000
2003,30014000
2003,11391000
2003,265000
2003,182225
2003,796000
2003,2655061
2003,2706902
2003,2548969
2003,3015473
2003,2704228
2003,1790622
2003,1742903
2003,1743397
2003,2225481
2003,7183763
2003,5143901
2003,2548899
2003,2294870
2003,5631711
2003,2330731
2003,2236679
2003,2441125
2003,7170772
2003,4340957
2003,9555425
2003,3240006
2003,4174359
2003,3214808
2003,2745453
2003,2747515
2003,3003334
2004,9306909
2004,4980640
2004,10793250
2004,26989700
2004,46052100
2004,10903024
2004,13132944
2004,5951882
2004,6054283
2004,5960363
2004,8615776
2004,5664291
2004,5142525
2004,6061827
2004,8736858
2004,11526586
2004,11888204
2004,6710670
2004,45234730
2004,2261000
2004,1570000
2004,930000
2004,472850
2004,211412
2004,13662435
2004,29881079
2004,45054655
2004,7172500
2004,7138225
2004,10773375
2004,17111400
2004,5343150
2004,299500
2004,19955
2004,999658
2004,3257000
2004,36399
2004,13895916
2004,4609100
2004,8733000
2004,47785445
2004,16972000
2004,14510867
2004,8160000
2005,574958
2005,32690740
2005,34683180
2005,12737052
2005,25285887
2005,6386401
2005,5118857
2005,6122586
2005,7436401
2005,5693546
2005,5493107
2005,8759659
2005,6245512
2005,12103542
2005,11978752
2005,5086391
2005,19690794
2005,37778475
2005,2315222
2005,1202117
2005,1202043
2005,1227391
2005,563918
2005,813781
2005,9917604
2005,33897948
2005,44984748
2005,7205900
2005,5824000
2005,12861000
2005,17727000
2005,5010000
2005,269000
2005,1081718
2005,3249000
2005,1036476
2005,13551600
2005,9764000
2005,21432000
2005,48633000
2005,19699000
2005,7916500
2006,1770390
2006,2110821
2006,18337310
2006,59834978
2006,9436227
2006,10497634
2006,14711087
2006,6765472
2006,6914320
2006,5487597
2006,5850219
2006,7445800
2006,6700292
2006,11798460
2006,11755354
2006,1500000
2006,2328450
2006,4197497
2006,1677100
2006,3641125
2006,1189798
2006,1019558
2006,216840
2006,647027
2006,915155
2006,9300684
2006,34971120
2006,41926494
2006,9193982
2006,5257026
2006,17182126
2006,6063938
2006,17172315
2006,285440
2006,1066200
2006,5098000
2006,1154284
2006,18271104
2006,13550000
2006,46334620
2006,4223726
2006,20844154
2006,8409868
2007,4654882
2007,917949
2007,4056428
2007,7818989
2007,20701485
2007,63742748
2007,22886985
2007,7390126
2007,17821181
2007,7398957
2007,7502904
2007,5915135
2007,6057369
2007,7369013
2007,7808056
2007,18558741
2007,6181381
2007,3000000
2007,8876863
2007,21830000
2007,700000
2007,2406000
2007,1204402
2007,803656
2007,804900
2007,171853
2007,225472
2007,492837
2007,972768
2007,9252243
2007,34654534
2007,44395047
2007,9613942
2007,5766123
2007,15930788
2007,5625671
2007,16122495
2007,325000
2007,1095094
2007,8818000
2007,1092918
2007,15834000
2007,6609000
2007,49933000
2007,17428000
2007,4239000
2007,4605000
2007,21627000
2007,8219000
2008,13786610
2008,30940154
2008,30794040
2008,30269505
2008,15065220
2008,8854723
2008,5864723
2008,5129750
2008,5722739
2008,9036419
2008,6000080
2008,12245007
2008,12140235
2008,3076678
2008,5424070
2008,9875415
2008,341245
2008,3866382
2008,2568267
2008,2402402
2008,1048219
2008,997745
2008,217950
2008,1399139
2008,9688433
2008,31966262
2008,42828059
2008,9174619
2008,5363807
2008,14033225
2008,18337962
2008,5725661
2008,325000
2008,939800
2008,8083000
2008,1016500
2008,14585000
2008,8173000
2008,34518000
2008,26760000
2008,4800000
2008,20465000
2008,7704000
2009,12417244
2009,21438507
2009,44036000
2009,7144000
2009,7105000
2009,5962000
2009,5907000
2009,6128000
2009,9092000
2009,17734000
2009,5944000
2009,6463366
2009,1161200
2009,1784140
2009,5094514
2009,1624387
2009,1538985
2009,664982
2009,1520922
2009,41302992
2009,40294519
2009,9844371
2009,14073249
2009,18600504
2009,2369248
2009,285000
2009,1075190
2009,7393000
2009,1079283
2009,18736000
2009,7950000
2009,970000
2009,48460000
2009,18770000
2009,4170000
2009,2120000
2009,18810000
2009,8429000
2009,921000
2010,9110757
2010,18185719
2010,53677075
2010,8330000
2010,16540000
2010,19240000
2010,13650000
2010,7730000
2010,7020000
2010,7030000
2010,7020000
2010,8380000
2010,126390
2010,7120837
2010,20894736
2010,20894735
2010,4997038
2010,9000000
2010,3408527
2010,3071455
2010,544972
2010,605150
2010,1505623
2010,40268478
2010,39039177
2010,9851926
2010,17158253
2010,2707056
2010,22719243
2010,271439
2010,1080000
2010,8358000
2010,1000550
2010,18506500
2010,8731000
2010,52970000
2010,16514000
2010,5220000
2010,2076000
2010,19253000
2010,8304000
2011,28444881
2011,75506078
2011,27184000
2011,16242000
2011,10862000
2011,5309000
2011,5344000
2011,3570000
2011,7307000
2011,2811000
2011,10991000
2011,10952000
2011,5866947
2011,9137529
2011,282779
2011,17956496
2011,1379408
2011,1084074
2011,3100000
2011,1163289
2011,565289
2011,543069
2011,1170091
2011,37630694
2011,38807328
2011,9948913
2011,21804394
2011,20401139
2011,300000
2011,18545000
2011,10325000
2011,51759000
2011,4404000
2011,17994000
2011,2159000
2011,8429000
2011,724312
2011,8536000
2011,701431
2012,26459338
2012,82734292
2012,16671000
2012,28356000
2012,18356000
2012,5942000
2012,6001000
2012,7265000
2012,7153000
2012,11989000
2012,12040000
2012,7289595
2012,18446425
2012,15836693
2012,3880000
2012,3050000
2012,1164527
2012,700254
2012,1541034
2012,31283930
2012,7048558
2012,29204857
2012,13453301
2012,14420675
2012,4614805
2012,878144
2012,16571942
2012,4151519
2012,17476809
2012,1430270
2012,300000
2012,8712000
2012,13489000
2012,5655000
2012,2150000
2012,46108000
2012,19431000
2012,13157000
2012,26808000
2012,2337000
2012,8045000
2012,430436
2012,7630000
2012,2627965
2013,25695046
2013,17490067
2013,34630267
2013,15294000
2013,26667000
2013,14953000
2013,7477000
2013,5489000
2013,5603000
2013,3855000
